University,City,Country,DegreeLevel,Degree,Tags,UniversityLink,DegreeLink
RWTH Aachen University,Aachen,Germany,Postgraduate,Applied Geophysics,Applied Geophysics,https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Applied-Geophysics-M-Sc/~bjvd/Applied-Geophysics-M-Sc-/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Applied Health Informatics and Digital Medicine,"Applied Health Informatics,Digital Medicine",https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Applied-Health-Informatics-Digital-Med/~bgishp/Applied-Health-Informatics-Digital-Med/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Automotive Engineering,Automotive Engineering,https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Automotive-Engineering-M-Sc-/~dgcr/Automotive-Engineering-M-Sc-/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Battery Science and Technology in Engineering,"Battery Science,Technology,Engineering",https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Battery-Science-and-Technology-in-Engine/~bkxltk/Battery-Science-and-Technology-in-Engine/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Battery Systems Engineering,Battery Systems Engineering,https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Management-and-Engineering-in-Technology/Battery-Systems-Engineering-M-Sc/~bkouyx/Battery-Systems-Engineering-M-Sc/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Biomedical Engineering,Biomedical Engineering,https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Biomedical-Engineering-M-Sc/~boky/Biomedical-Engineering-M-Sc-/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,"Cognitive, Digital and Empirical English Studies","Cognitive,Digital,Empirical English Studies",https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Cognitive-Digital-and-Empirical-English/~oaxlh/Cognitive-Digital-and-Empirical-English/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Computer Aided Conception and Production in Mechanical Engineering,"Computer Aided Conception,Production,Mechanical Engineering",https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Computer-Aided-Conception-and-Production/~dfvx/Computer-Aided-Conception-and-Production/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Computer Engineering,Computer Engineering,https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Elektrotechnik-Informationstechnik-und-/~bhgzcs/Elektrotechnik-Informationstechnik-und-/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Data Analytics and Decision Science,"Data Analytics,Decision Science",https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Management-and-Engineering-in-Technology/Data-Analytics-Decision-Science-M-Sc/~puit/Data-Analytics-Decision-Science-M-Sc/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Data Science,Data Science,https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Data-Science-M-Sc/~pzpd/Data-Science-M-Sc/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Digitalization and Industrial Change (MBA),"Business,STEM,MBA,Management,Business Adminsitration,Finance,Marketing,Operations",https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Full-Time-MBA-in-Digitalization-Indust/~jloeh/Full-Time-MBA-in-Digitalization-Indust/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Electrical Engineering and Information Technology,"Electrical Engineering,Information Technology",https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Elektrotechnik-Informationstechnik-und-/~bhgmsa/Elektrotechnik-Informationstechnik-und-/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Engineering Geohazards,Engineering Geohazards,https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Engineering-Geohazards-M-Sc/~grwkz/Engineering-Geohazards-M-Sc/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,European Studies,European Studies MPA-ES,https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/European-Studies-MPA-ES/~srxa/Master-of-Public-Administration-in-Europ/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Human-Centered Intelligent Systems,Human-Centered Intelligent Systems,https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Human-Centered-Intelligent-Systems-M-Sc/~bltdzo/Human-Centered-Intelligent-Systems-M-Sc/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Laboratory Animal Science,Laboratory Animal Science,https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Laboratory-Animal-Science-M-Sc/~hkwt/Laboratory-Animal-Science-M-Sc/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Management and Engineering in Computer Aided Mechanical Engineering,"Management,Engineering,Computer Aided Mechanical Engineering",https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Management-and-Engineering-in-Computer-A/~jiqy/Management-and-Engineering-in-Computer-A/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Management and Engineering in Production Systems,"Management,Engineering,Production Systems",https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Management-and-Engineering-in-Production/~dibf/Management-and-Engineering-in-Production/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,"Management and Engineering in Technology, Innovation, Marketing and Entrepreneurship","Management,Engineering,Technology,Innovation,Marketing,Entrepreneurship",https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Management-and-Engineering-in-Technology/~mfxd/Lasers-in-Dentistry-M-Sc/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Management Science and Mathematics,"Management Science,Mathematics",https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Mathematik-M-Sc/~bhhesl/Mathematik-M-Sc/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Materials Engineering (International Profile),"Materials Engineering,International Profile",https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Materials-Engineering-M-Sc/~tgwpa/Materials-Engineering-M-Sc/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Periodontology,Periodontology,https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Periodontology-M-Sc/~lfezx/Periodontology-M-Sc/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Physics,Physics,https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Physik-M-Sc/~bojz/Physik-M-Sc-/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Resilient Civil Engineering,Resilient Civil Engineering,https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Resilient-Civil-Engineering-M-Sc/~bdyaan/Resilient-Civil-Engineering-M-Sc/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Robotic Systems Engineering,Robotic Systems Engineering,https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Robotic-Systems-Engineering-Master-of-S/~ojta/Robotic-Systems-Engineering-M-Sc/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Simulation Sciences,Simulation Sciences,https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Simulation-Sciences-M-Sc/~hkvo/Simulation-Sciences-M-Sc/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Smart Production Engineering,Smart Production Engineering,https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Networked-Production-Engineering-M-Sc/~fvgop/Networked-Production-Engineering-M-Sc/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Software Systems Engineering,Software Systems Engineering,https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Software-Systems-Engineering-M-Sc/~bnhs/Software-Systems-Engineering-M-Sc-/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,"Sustainability Management: Technology, Analytics and Transformation","Sustainability Management,Technology,Analytics,Transformation",https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Sustainability-Management-M-Sc/~befush/Sustainability-Management-Technology-A/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Sustainable Chemistry,Sustainable Chemistry,https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Sustainable-Chemistry-M-Sc/~bmgxvq/Sustainable-Chemistry-M-Sc/lidx/1/
RWTH Aachen University,Aachen,Germany,Postgraduate,Sustainable Management – Water and Energy,"Sustainable Management – Water,Energy",https://www.rwth-aachen.de/go/id/a/?lidx=1,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/Sustainable-Management-Water-and-Energ/~nmyu/Sustainable-Management-Water-and-Energ/lidx/1/
